locus_tag	ftype	length_bp	gene	EC_number	COG	product
HPFNLEKH_00188	CDS	564				hypothetical protein
HPFNLEKH_00189	gene	942				
HPFNLEKH_00189	CDS	942				hypothetical protein
HPFNLEKH_00190	gene	942				
HPFNLEKH_00190	CDS	942				hypothetical protein
HPFNLEKH_00191	gene	795				
HPFNLEKH_00191	CDS	795				hypothetical protein
HPFNLEKH_00192	gene	546	cobP			
HPFNLEKH_00192	CDS	546	cobP	2.7.1.156		Bifunctional adenosylcobalamin biosynthesis protein CobP
HPFNLEKH_00193	gene	630				
HPFNLEKH_00193	CDS	630				hypothetical protein
HPFNLEKH_00194	gene	882				
HPFNLEKH_00194	CDS	882				hypothetical protein
HPFNLEKH_00195	gene	996				
HPFNLEKH_00195	CDS	996				hypothetical protein
HPFNLEKH_00196	gene	1170				
HPFNLEKH_00196	CDS	1170				hypothetical protein
HPFNLEKH_00197	gene	429	rsbW_2			
HPFNLEKH_00197	CDS	429	rsbW_2	2.7.11.1	COG2172	Serine-protein kinase RsbW
HPFNLEKH_00198	gene	1674				
HPFNLEKH_00198	CDS	1674				hypothetical protein
HPFNLEKH_00199	gene	720	degU_1			
HPFNLEKH_00199	CDS	720	degU_1		COG2197	Transcriptional regulatory protein DegU
HPFNLEKH_00200	gene	753	tagA			
HPFNLEKH_00200	CDS	753	tagA	2.4.1.187	COG1922	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase
HPFNLEKH_00201	gene	747	ftsE			
HPFNLEKH_00201	CDS	747	ftsE		COG2884	Cell division ATP-binding protein FtsE
HPFNLEKH_00202	gene	771				
HPFNLEKH_00202	CDS	771				hypothetical protein
HPFNLEKH_00203	gene	603				
HPFNLEKH_00203	CDS	603				hypothetical protein
HPFNLEKH_00204	gene	900	lip3			
HPFNLEKH_00204	CDS	900	lip3	3.1.1.3		Lipase 3
HPFNLEKH_00205	gene	783	exoA			
HPFNLEKH_00205	CDS	783	exoA	3.1.11.2	COG0708	Exodeoxyribonuclease
HPFNLEKH_00206	gene	876				
HPFNLEKH_00206	CDS	876				hypothetical protein
HPFNLEKH_00207	gene	1497	hlyD_1			
HPFNLEKH_00207	CDS	1497	hlyD_1			Hemolysin secretion protein D, chromosomal
HPFNLEKH_00208	gene	393	rplL			
HPFNLEKH_00208	CDS	393	rplL			50S ribosomal protein L7/L12
HPFNLEKH_00209	gene	546	rplJ			
HPFNLEKH_00209	CDS	546	rplJ			50S ribosomal protein L10
HPFNLEKH_00210	gene	717	rplA			
HPFNLEKH_00210	CDS	717	rplA		COG0081	50S ribosomal protein L1
HPFNLEKH_00211	gene	426	rplK			
HPFNLEKH_00211	CDS	426	rplK		COG0080	50S ribosomal protein L11
HPFNLEKH_00212	gene	633	nusG			
HPFNLEKH_00212	CDS	633	nusG			Transcription termination/antitermination protein NusG
HPFNLEKH_00213	gene	222	secE			
HPFNLEKH_00213	CDS	222	secE			Protein translocase subunit SecE
HPFNLEKH_00214	gene	74				
HPFNLEKH_00214	tRNA	74				tRNA-Trp(cca)
HPFNLEKH_00215	gene	393	rplS			
HPFNLEKH_00215	CDS	393	rplS		COG0335	50S ribosomal protein L19
HPFNLEKH_00216	gene	711				
HPFNLEKH_00216	CDS	711				hypothetical protein
HPFNLEKH_00217	gene	1005				
HPFNLEKH_00217	CDS	1005			COG0451	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase
HPFNLEKH_00218	gene	3243	mdtB			
HPFNLEKH_00218	CDS	3243	mdtB			Multidrug resistance protein MdtB
HPFNLEKH_00219	gene	291				
HPFNLEKH_00219	CDS	291				hypothetical protein
HPFNLEKH_00220	gene	1020	lnrL_1			
HPFNLEKH_00220	CDS	1020	lnrL_1	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
HPFNLEKH_00221	gene	888				
HPFNLEKH_00221	CDS	888				hypothetical protein
HPFNLEKH_00222	gene	390				
HPFNLEKH_00222	CDS	390				hypothetical protein
HPFNLEKH_00223	gene	438	bcp_2			
HPFNLEKH_00223	CDS	438	bcp_2	1.11.1.15	COG1225	Putative peroxiredoxin bcp
HPFNLEKH_00224	gene	405				
HPFNLEKH_00224	CDS	405				hypothetical protein
HPFNLEKH_00225	gene	1272				
HPFNLEKH_00225	CDS	1272				hypothetical protein
HPFNLEKH_00226	gene	858				
HPFNLEKH_00226	CDS	858				hypothetical protein
HPFNLEKH_00227	gene	660				
HPFNLEKH_00227	CDS	660				hypothetical protein
HPFNLEKH_00228	gene	75				
HPFNLEKH_00228	tRNA	75				tRNA-Arg(tct)
HPFNLEKH_00229	gene	540				
HPFNLEKH_00229	CDS	540				hypothetical protein
HPFNLEKH_00230	gene	1881				
HPFNLEKH_00230	CDS	1881				hypothetical protein
HPFNLEKH_00231	gene	1140	thiE			
HPFNLEKH_00231	CDS	1140	thiE	2.5.1.3		Thiamine-phosphate synthase
HPFNLEKH_00232	gene	213				
HPFNLEKH_00232	CDS	213				hypothetical protein
HPFNLEKH_00233	gene	1233	mshA_2			
HPFNLEKH_00233	CDS	1233	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
HPFNLEKH_00234	gene	864	cphB_1			
HPFNLEKH_00234	CDS	864	cphB_1	3.4.15.6		Cyanophycinase
HPFNLEKH_00235	gene	2706	cphA_1			
HPFNLEKH_00235	CDS	2706	cphA_1	6.3.2.29	COG0769	Cyanophycin synthetase
HPFNLEKH_00236	gene	171	tatAy			
HPFNLEKH_00236	CDS	171	tatAy			Sec-independent protein translocase protein TatAy
HPFNLEKH_00237	gene	1392	pknD_1			
HPFNLEKH_00237	CDS	1392	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
HPFNLEKH_00238	gene	696	cbiET			
HPFNLEKH_00238	CDS	696	cbiET		COG2241	Cobalamin biosynthesis bifunctional protein CbiET
HPFNLEKH_00239	gene	885				
HPFNLEKH_00239	CDS	885				hypothetical protein
HPFNLEKH_00240	gene	714				
HPFNLEKH_00240	CDS	714				hypothetical protein
HPFNLEKH_00241	gene	789				
